expName,key_resp_debrief.rt,Age *,key_resp_10.keys,__datetime,Highest level of education completed so far (e.g~ High school/grade (US); GCSE/Secondary School (UK); A-Levels; Bachelor's degree etc~) *,slider_2.response,tut_text,choose_blocks.thisN,consent_form.ran,date,slider_3.response,key_resp_consent.rt,consent_form.thisN,block_name.thisTrialN,tut_graph_image,block_name.thisN,intro_text,tutorial_loop.thisIndex,new_questionText,consent_number,OS,consent_form.thisIndex,choose_blocks.ran,key_resp_debrief.keys,tutorial_loop.thisTrialN,participant,frameRate,block_name.ran,choose_blocks.thisRepN,__experimentName,consent_form.thisTrialN,slider_3.rt,study_id,tutorial_loop.thisRepN,Gender *,slider_2.rt,blank_graph_image,consent_form.thisRepN,key_resp_10.rt,choose_blocks.thisTrialN,block_name.thisIndex,tutorial_loop.thisN,graph_image,psychopyVersion,tutorial_loop.ran,block_name.thisRepN,key_resp_done.rt,key_resp_done.keys,slider_1.rt,choose_blocks.thisIndex,key_resp_consent.keys,slider_1.response,block_file,time_taken
﻿U_graphs_1,NA,27,NA,2020-06-16_21h31.17.975,Bachelor's degree (Healthcare science),NA,NA,NA,1,2020-06-16_21h31.17.975,NA,3.0947550000273623,0,NA,NA,NA,NA,NA,I confirm that I have read the study description for this study and have had the opportunity to consider the information.,1 of 5,Win32,0,NA,NA,NA,1,60,NA,NA,U_graphs_1,0,NA,5ee91448dd71c9291b822a9d,NA,Male,NA,NA,0,NA,NA,NA,NA,NA,2020.1.2,NA,NA,NA,NA,NA,NA,y,NA,NA,13.684766666666667
﻿U_graphs_1,NA,27,NA,2020-06-16_21h31.17.975,Bachelor's degree (Healthcare science),NA,NA,NA,1,2020-06-16_21h31.17.975,NA,3.0906599999871105,1,NA,NA,NA,NA,NA,"I understand that my participation in the study is voluntary and that I am free to withdraw at any time without giving a reason and without detriment to myself, but I will not be paid for the study.  I understand that it will not be possible to remove my data from the project once it has been anonymised and forms part of the data set.  
I agree to take part on this basis.",2 of 5,Win32,1,NA,NA,NA,1,60,NA,NA,U_graphs_1,1,NA,5ee91448dd71c9291b822a9d,NA,Male,NA,NA,0,NA,NA,NA,NA,NA,2020.1.2,NA,NA,NA,NA,NA,NA,y,NA,NA,13.684766666666667
﻿U_graphs_1,NA,27,NA,2020-06-16_21h31.17.975,Bachelor's degree (Healthcare science),NA,NA,NA,1,2020-06-16_21h31.17.975,NA,1.8059099999954924,2,NA,NA,NA,NA,NA,"I understand that any data collected may be published in anonymous form in academic books, reports or journals. I understand that it will also be permanently stored in anonymous form in a public online repository, and may be used for future studies.",3 of 5,Win32,2,NA,NA,NA,1,60,NA,NA,U_graphs_1,2,NA,5ee91448dd71c9291b822a9d,NA,Male,NA,NA,0,NA,NA,NA,NA,NA,2020.1.2,NA,NA,NA,NA,NA,NA,y,NA,NA,13.684766666666667
﻿U_graphs_1,NA,27,NA,2020-06-16_21h31.17.975,Bachelor's degree (Healthcare science),NA,NA,NA,1,2020-06-16_21h31.17.975,NA,2.3971349999774247,3,NA,NA,NA,NA,NA,"I understand that data collected during the study may be looked at by individuals from The University of Manchester or regulatory authorities, where it is relevant to my taking part in this research. I give permission for these individuals to have access to my data.",4 of 5,Win32,3,NA,NA,NA,1,60,NA,NA,U_graphs_1,3,NA,5ee91448dd71c9291b822a9d,NA,Male,NA,NA,0,NA,NA,NA,NA,NA,2020.1.2,NA,NA,NA,NA,NA,NA,y,NA,NA,13.684766666666667
﻿U_graphs_1,NA,27,NA,2020-06-16_21h31.17.975,Bachelor's degree (Healthcare science),NA,NA,NA,1,2020-06-16_21h31.17.975,NA,0.5085850000032224,4,NA,NA,NA,NA,NA,I agree to take part in this study.,5 of 5,Win32,4,NA,NA,NA,1,60,NA,NA,U_graphs_1,4,NA,5ee91448dd71c9291b822a9d,NA,Male,NA,NA,0,NA,NA,NA,NA,NA,2020.1.2,NA,NA,NA,NA,NA,NA,y,NA,NA,13.684766666666667
﻿U_graphs_1,NA,27,NA,2020-06-16_21h31.17.975,Bachelor's degree (Healthcare science),NA,"This graph shows the average amount of 
 rainfall per day in Edinburgh for one month",NA,NA,2020-06-16_21h31.17.975,NA,NA,NA,NA,tutorial_and_prac_graphs/tut1.png,NA,NA,0,NA,NA,Win32,NA,NA,NA,0,1,60,NA,NA,U_graphs_1,NA,NA,5ee91448dd71c9291b822a9d,0,Male,NA,NA,NA,NA,NA,NA,0,NA,2020.1.2,1,NA,NA,NA,NA,NA,NA,NA,NA,13.684766666666667
﻿U_graphs_1,NA,27,NA,2020-06-16_21h31.17.975,Bachelor's degree (Healthcare science),NA,"The average amount of rainfall per day 
 was just over 5 mm",NA,NA,2020-06-16_21h31.17.975,NA,NA,NA,NA,tutorial_and_prac_graphs/tut1.png,NA,NA,1,NA,NA,Win32,NA,NA,NA,1,1,60,NA,NA,U_graphs_1,NA,NA,5ee91448dd71c9291b822a9d,0,Male,NA,NA,NA,NA,NA,NA,1,NA,2020.1.2,1,NA,NA,NA,NA,NA,NA,NA,NA,13.684766666666667
﻿U_graphs_1,NA,27,NA,2020-06-16_21h31.17.975,Bachelor's degree (Healthcare science),NA,"That average is calculated using the 
 rainfall from all 30 days in that month",NA,NA,2020-06-16_21h31.17.975,NA,NA,NA,NA,tutorial_and_prac_graphs/tut2.png,NA,NA,2,NA,NA,Win32,NA,NA,NA,2,1,60,NA,NA,U_graphs_1,NA,NA,5ee91448dd71c9291b822a9d,0,Male,NA,NA,NA,NA,NA,NA,2,NA,2020.1.2,1,NA,NA,NA,NA,NA,NA,NA,NA,13.684766666666667
﻿U_graphs_1,NA,27,NA,2020-06-16_21h31.17.975,Bachelor's degree (Healthcare science),NA,"That average is calculated using the 
 rainfall from all 30 days in that month",NA,NA,2020-06-16_21h31.17.975,NA,NA,NA,NA,tutorial_and_prac_graphs/tut3.png,NA,NA,3,NA,NA,Win32,NA,NA,NA,3,1,60,NA,NA,U_graphs_1,NA,NA,5ee91448dd71c9291b822a9d,0,Male,NA,NA,NA,NA,NA,NA,3,NA,2020.1.2,1,NA,NA,NA,NA,NA,NA,NA,NA,13.684766666666667
﻿U_graphs_1,NA,27,NA,2020-06-16_21h31.17.975,Bachelor's degree (Healthcare science),NA,"That average is calculated using the 
 rainfall from all 30 days in that month",NA,NA,2020-06-16_21h31.17.975,NA,NA,NA,NA,tutorial_and_prac_graphs/tut4.png,NA,NA,4,NA,NA,Win32,NA,NA,NA,4,1,60,NA,NA,U_graphs_1,NA,NA,5ee91448dd71c9291b822a9d,0,Male,NA,NA,NA,NA,NA,NA,4,NA,2020.1.2,1,NA,NA,NA,NA,NA,NA,NA,NA,13.684766666666667
